,name,spec,price
139,"Gite to let for 2 in Port Launay, Brittany - BF006384","Bedrooms 1, Sleeps 2, Ratings 7 9.5/10",€500 pw
140,"Property to let, private heated pool, Loire V - VE004172","Bedrooms 5, Sleeps 8, Ratings 3 9.2/10",£1175 pw
141,Holiday gite with heated pool in Loire Valley - LL007331,"Bedrooms 5, Sleeps 10, Ratings 1 9.8/10",£1250 to £2500 pw
142,"Rural farmhouse in Normandy, Manche - NM003492","Bedrooms 5, Sleeps 14",£1600 pw
143,Lovely cottage with shared pool in the Aude - RA006783,"Bedrooms 2, Sleeps 4",£696 pw
144,"Normandy Holiday Cottage Rental, Le Teilleul - NM007712","Bedrooms 7, Sleeps 18",£850 to £1500 pw
145,Rural cottage to let in Vern d'Anjou - LL001494,"Bedrooms 2, Sleeps 4, Ratings 19 9.7/10",£395 to £495 pw
146,A Cottage for family holiday rental Manche - NM003111,"Bedrooms 3, Sleeps 6",£1098 pw
147,Riverside holiday house in Le Bugue - AD004889,"Bedrooms 1, Sleeps 2, Ratings 6 9.5/10",£450 to £595 pw
148,"Cottage to let in Cotes d'Armor, Brtittany - BN007484_B","Bedrooms 5, Sleeps 10",£300 to £485 pw
149,Holiday gite to let with pool near Toulouse - MA006107,"Bedrooms 2, Sleeps 6",£730 to £860 pw
150,Spacious holiday gite shared pool near Auch - MG006558,"Bedrooms 2, Sleeps 5",£460 to £530 pw
151,Gite complex in Lussais village with pool - PS004520_B,"Bedrooms 3, Sleeps 8, Ratings 3 9.6/10",£465 to £1350 pw
152,Spacious holiday gite near the Pyrenees - AP007016,"Bedrooms 3, Sleeps 6",£1050 to £1500 pw
153,Large house to let with private pool Dordogne - AD007383,"Bedrooms 3, Sleeps 8",£600 to £650 pw
154,A Holiday cottage to rent Jugon les Lacs - BN002318,"Bedrooms 3, Sleeps 6",£500 pw
155,"Family friendly gite & pool to let, Aquitaine - AD007482","Bedrooms 4, Sleeps 8",£400 to £900 pw
156,Gite to rent for Vienne holiday Montmorillon - PV002079_A,"Bedrooms 1, Sleeps 2",£300 pw
157,"Rural Gite for 2, to let in Calvados Normandy - NC006522","Bedrooms 1, Sleeps 2",£560 pw
158,Holiday gite in Normandy near St Mere Eglise - NM006337,"Bedrooms 1, Sleeps 4, Ratings 2 10/10",£365 to £450 pw
159,Gite for holiday rental Deux Sevres - PS003202,"Bedrooms 2, Sleeps 4, Ratings 2 9.3/10",£340 to £600 pw
160,"Beautiful stone house to let for 8, Dordogne - AD007307","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£700 to £850 pw
161,Luxury Holiday Accommodation In Normandy - NC005115,"Bedrooms 2, Sleeps 5, Ratings 2 9.8/10",£1350 pw
162,Gite to rent for Vienne holiday Montmorillon - PV002079_B,"Bedrooms 2, Sleeps 4",£400 pw
163,Farmhouse for holiday rental Lot - ML003197,"Bedrooms 4, Sleeps 10, Ratings 2 9.8/10",£900 to £1800 pw
164,Holiday cottage with private pool in Dordogne - AD005635_A,"Bedrooms 2, Sleeps 4",£499 to £850 pw
165,Farmhouse and private pool to let in Gibourne - PM005333,"Bedrooms 4, Sleeps 8, Ratings 1 9.8/10",£650 to £700 pw
166,"Holiday house with shared pool, Soreze 3km - MT002148_A","Bedrooms 2, Sleeps 4",£580 pw
167,Rural watermill to let in Dordogne village - AD004466_A,"Bedrooms 3, Sleeps 6, Ratings 2 9.6/10",€808 pw
168,Character gite for holiday let Lot et Garonne - AT003736,"Bedrooms 2, Sleeps 5, Ratings 1 10/10",£380 to £595 pw
169,"Family friendly gite to let, pool, Aquitaine - AL007646","Bedrooms 2, Sleeps 4",£465 to £1300 pw
170,"Holiday Farmhouse, beaches 30 mins, nr Dinan - BN001600_A","Bedrooms 6, Sleeps 12, Ratings 2 8.8/10",£350 to £550 pw
171,Cosy holiday gite rental for 2 in Poullignac - PC007522,"Bedrooms 1, Sleeps 2",£580 to £650 pw
172,Holiday let overlooking river Creuse - VI004787,"Bedrooms 2, Sleeps 4, Ratings 4 9.6/10",£525 pw
173,Rural 3 bedroom cottage to let near Hesdin - DP005214,"Bedrooms 3, Sleeps 6, Ratings 11 9.9/10",£629 pw
174,Dog friendly holiday gite in rural Normandy - NM005929,"Bedrooms 3, Sleeps 6, Ratings 14 10/10",£535 to £650 pw
175,"Family friendly gite to let with pool, Brux - PV007709","Bedrooms 2, Sleeps 4",£475 to £825 pw
176,Family friendly gite to let Charente Maritime - PM005869,"Bedrooms 4, Sleeps 8",£600 to £1300 pw
177,Magnificent manor house to let in Deux Sevres - PS005379,"Bedrooms 5, Sleeps 16, Ratings 6 9.8/10",£1400 to £2400 pw
178,Holiday gite for 2 by watermill in Noyant - LL006376,"Bedrooms 1, Sleeps 2, Ratings 4 9.6/10",£480 to £575 pw
179,Holiday gite for rental in Brittany - BN000450_A,"Bedrooms 4, Sleeps 7",£590 pw
180,Self catering holiday let 15km Montmorillon - PV003533,"Bedrooms 2, Sleeps 4, Ratings 10 10/10",£465 to £650 pw
181,Gite holiday rental with shared pool Souvigne - PS001074_A,"Bedrooms 2, Sleeps 5",£620 pw
182,Holiday gite with pool near Souillac - ML006866,"Bedrooms 3, Sleeps 6",£380 pw
183,Luxury gite with 3 fishing lakes in Mayenne - LM004583,"Bedrooms 3, Sleeps 6, Ratings 10 10/10",£839 to £1289 pw
184,Cottage with shared pool in Morbihan - BM005283_B,"Bedrooms 2, Sleeps 4",£445 to £725 pw
185,Holiday cottage in Brittany with shared pool - BM006793,"Bedrooms 3, Sleeps 8",£410 pw
186,Large holiday house & pool in rural Dordogne - AD005715,"Bedrooms 4, Sleeps 8, Ratings 8 9.7/10",£1400 to £2200 pw
187,Cosy cottage for holiday rental in Dordogne - AD003068,"Bedrooms 2, Sleeps 4",£395 pw
188,Cosy barn conversion to let in rural Normandy - NM006167,"Bedrooms 2, Sleeps 3, Ratings 2 9.6/10",£385 pw
189,"Large holiday gite with pool, Midi Pyrenees - MT006002","Bedrooms 3, Sleeps 9",£830 to £1465 pw
190,"Family friendly gite & pool to let, Aquitaine - AD007482","Bedrooms 4, Sleeps 8",£400 to £900 pw
191,Holiday Gites to let in rural Brittany - BM006042,"Bedrooms 2, Sleeps 5, Ratings 7 10/10",£525 to £700 pw
192,Family holiday home in Dordogne manor grounds - AD005310,"Bedrooms 4, Sleeps 7, Ratings 5 10/10",£791 pw
193,Breton cottage to rent in rural Brittany - BM003530,"Bedrooms 1, Sleeps 2, Ratings 30 9.9/10",£360 to £440 pw
194,Lovely gite for family holidays in Gibourne - PM005171,"Bedrooms 4, Sleeps 10",£595 to £925 pw
195,Cosy 2 Bedroom holiday gite in Brittany - BN006622,"Bedrooms 2, Sleeps 4",£280 to £420 pw
196,"Holiday gite with private pool, Brittany - BN007741","Bedrooms 2, Sleeps 4",£805 pw
197,"House & gite to let with pool, Aquitaine - AD007678","Bedrooms 5, Sleeps 10",£2250 to £2950 pw
198,Beautiful stone house in Charente Maritime - PM006532,"Bedrooms 4, Sleeps 9, Ratings 3 9.9/10",£900 to £1650 pw
199,"Large holiday gite with pool, rural Dordogne - AD005777","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£1295 pw
200,Cosy holiday gite rental for 2 in Poullignac - PC007522,"Bedrooms 1, Sleeps 2",£580 to £650 pw
201,Holiday cottage for 2 in Limousin - UO007581,"Bedrooms 1, Sleeps 2",£539 pw
202,Self catering holiday cottage in Brittany - BI003960_B,"Bedrooms 1, Sleeps 3",£400 pw
203,Holiday gite in rural Normandy Calvados - NC005992,"Bedrooms 3, Sleeps 6, Ratings 2 10/10",£495 to £935 pw
204,Gite for holiday rental Deux Sevres - PS003202,"Bedrooms 2, Sleeps 4, Ratings 2 9.3/10",£340 to £600 pw
205,"Farmhouse to let on rural complex, Dordogne - AD007296","Bedrooms 3, Sleeps 7",£400 to £900 pw
206,Pretty cottage to let in Charente Maritime - PM005844,"Bedrooms 2, Sleeps 4, Ratings 6 9.4/10",£555 to £985 pw
207,"Peaceful Cottage to let Pounerin, Brittany - BN006391","Bedrooms 2, Sleeps 5, Ratings 1 10/10",£750 pw
208,Holiday cottage with pool in rural Aquitaine - AT005569,"Bedrooms 3, Sleeps 8, Ratings 2 10/10",£995 to £1895 pw
209,Family gite accommodation nr St Jean-d'Angély - PM002197_C,"Bedrooms 16, Sleeps 30, Ratings 1 10/10",£445 to £1250 pw
210,"Delightful cottage to let, Charente Maritime - PM005416","Bedrooms 3, Sleeps 6, Ratings 1 10/10",£665 pw
211,Holiday cottage with pool in rural Normandy - NM005770,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£695 pw
212,Lovely farmhouse with a pool to let in Matha - PM007654,"Bedrooms 4, Sleeps 8, Ratings 1 9.5/10",£1450 pw
213,"Large farmhouse with pool to let, Dordogne - AD006738","Bedrooms 4, Sleeps 10",£850 to £2000 pw
214,Spacious holiday gite with pool in Dordogne - AD006993,"Bedrooms 4, Sleeps 8",£595 to £900 pw
215,"Holiday cottage in Brittany, nr Huelgoat - BF007106","Bedrooms 3, Sleeps 6, Ratings 1 10/10",£610 to £720 pw
216,"Cottage with pool to let nr Le Mans, Loire - LS006939","Bedrooms 3, Sleeps 6",£575 to £1200 pw
217,"Beautiful farmhouse with private pool, Indre - VE005673","Bedrooms 3, Sleeps 6, Ratings 1 9.8/10",£925 to £1325 pw
218,Lovely cottage to let with pool in Dordogne - AD007595,"Bedrooms 4, Sleeps 8",£1815 pw
219,Cottage for holiday let inBrittany - BM004184,"Bedrooms 3, Sleeps 6, Ratings 1 10/10",£399 to £580 pw
220,"Lovely disabled-friendly gite to let, Vienne - PV006790","Bedrooms 5, Sleeps 10",£560 to £665 pw
221,Large house with pool to let in Aquitaine - AD007208,"Bedrooms 6, Sleeps 12",£800 to £1200 pw
222,"Holiday cottage with private pool, Languedoc - RG007257","Bedrooms 2, Sleeps 4",£952 pw
223,"Lovely gite with shared pool, Saint Severin - PC005705","Bedrooms 3, Sleeps 6",£395 to £500 pw
224,Cottage rental for holidays nr Portbail - NM002439,"Bedrooms 2, Sleeps 4",£650 pw
225,House & pool to let in tranquil Aquitaine - AD004592,"Bedrooms 2, Sleeps 4",£800 pw
226,"3 gites with large garden and 2 pools, Loire - LA006586","Bedrooms 10, Sleeps 20",£2018 to £2890 pw
227,"Holiday let with pool, Charente Maritime - PM002756_C","Bedrooms 2, Sleeps 6, Ratings 1 10/10",£650 to £1160 pw
228,"Village house with pool to let, near Bergerac - AD002206","Bedrooms 4, Sleeps 8, Ratings 9 9.5/10",£695 to £1355 pw
